ID,品质,道具名称,使用脚本,道具描述,icon图标ID,使用限制,每日使用次数,使用等级限制,关卡ID1,关卡ID2,关卡ID3,关卡ID4
1,0,低级经验卡,1,增加君主经验,property_1.png,0,0,0,0,0,0,0
2,0,中级经验卡,2,增加君主经验,property_2.png,0,0,0,0,0,0,0
3,0,高级经验卡,3,增加君主经验,property_3.png,0,0,0,0,0,0,0
4,0,印符,0,刷新七星坛用,property_4.png,0,0,0,0,0,0,0
5,0,令,0,强制征税用,property_5.png,0,0,0,0,0,0,0
6,0,环首冰刃,0,三国主流的环首刀，击刺效果奇佳，戳过的西瓜冰凉可口。短刀兵升阶刀盾兵专用。,property_6.png,0,0,0,5,35,80,0
7,0,冰蚕皮甲,0,夏天的时候，每个人都梦想有这么一副皮甲，冰冰凉的，让人舒服。短刀兵升阶刀盾兵专用。,property_7.png,0,0,0,10,55,0,0
8,0,玄冰指环,0,用十三颗完美的玄冰水晶，经过专业铸造师用四十九天打造出来的玄冰指环。短刀兵升阶刀盾兵专用。,property_8.png,0,0,0,40,60,105,155
9,0,烈焰枪,0,镔铁打造，轻重刚好合适，单双手都可运用自如的长枪。轻骑兵升阶突骑兵专用。,property_9.png,0,0,0,5,35,45,0
10,0,赤皮甲胄,0,獠牙野猪，用其皮，涂抹赤火果的油晒近百天后，可以抵挡多种冷兵器刺击。轻骑兵升阶突骑兵专用。,property_10.png,0,0,0,15,90,0,0
11,0,狼牙兽环,0,骑兵戴着这个兽环，据说可以拥有狼王的力量和速度。轻骑兵升阶突骑兵专用。,property_11.png,0,0,0,30,70,110,0
12,0,柘木长弓,0,柘木及其珍贵，但用其制成长弓，是猎野猪，射小鸟的最佳选择。短弓兵升阶长弓兵专用。,property_12.png,0,0,0,10,40,65,0
13,0,狐裘袄,0,价格昂贵，有钱人才穿得起，有良好保暖效果的皮袄。短弓兵升阶长弓兵专用。,property_13.png,0,0,0,15,75,0,0
14,0,碧纹头带,0,算命的用青色的泥抹过的头带，传言说能驱邪避鬼。短弓兵升阶长弓兵专用。,property_14.png,0,0,0,20,50,120,0
15,0,青龙刀,0,铁牛制成青龙偃月刀成名后，开始批量生产青龙刀给偃月刀的爱慕者。刀盾兵升阶白眊兵专用。,property_15.png,0,0,0,45,110,115,165
16,0,仁王盾,0,红白相间的盾牌，看起来很厚，其实只能装装样子。刀盾兵升阶白眊兵专用。,property_16.png,0,0,0,60,120,125,175
17,0,金丝铁甲,0,闪闪发光的战甲，让敌人不敢直视，从而获得进攻的先机。刀盾兵升阶白眊兵专用。,property_17.png,0,0,0,75,145,150,195
18,0,龙纹指环,0,纯金打造，童叟无欺，只要戴着就可以体力大增的神奇指环。刀盾兵升阶白眊兵专用。,property_18.png,0,0,0,90,130,160,190
19,0,诸葛连弩,0,诸葛亮亲手打造的兵器，哪怕是文人，儿童拿在手里也是极具杀伤力。长弓兵升阶元戎弩专用。,property_19.png,0,0,0,55,105,130,155
20,0,燕羽青衫,0,一袭青色，轻若鸿毛，穿着这衣服让人身轻如燕。长弓兵升阶元戎弩专用。,property_20.png,0,0,0,95,125,160,175
21,0,柳叶鞋,0,穿着就好像没穿一样，毫无重量，柳叶形状的布鞋，弓箭手的最爱。长弓兵升阶元戎弩专用。,property_21.png,0,0,0,70,135,170,185
22,0,青皮头饰,0,墨绿的宝石镶嵌其中，散发着淡淡的幽光，注视久了，会有一种要把人吸进去的感觉。长弓兵升阶元戎弩专用。,property_22.png,0,0,0,80,140,180,200
23,0,双刃鬼斧,0,原有板斧的基础上经过加工改造而成的双刃鬼斧，可以劈开巨石，威力惊人。突骑兵升阶虎豹骑专用。,property_23.png,0,0,0,50,115,140,165
24,0,乌金软甲,0,乌黑色且泛有金光，坚硬如铁，精锐部队才有资格拥有的高级战甲。突骑兵升阶虎豹骑专用。,property_24.png,0,0,0,65,135,180,185
25,0,西凉良驹,0,西凉才有的良马，不过脾气很大，动不动就一脚把人踹翻。突骑兵升阶虎豹骑专用。,property_25.png,0,0,0,85,145,190,195
26,0,虎牙兽环,0,猎杀猛虎是进入虎豹骑的终极考验，经过考验的人会拔下虎牙做成兽环纪念。突骑兵升阶虎豹骑专用。,property_26.png,0,0,0,100,150,170,200
27,0,踏燕鞋,0,布鞋上有刺有一只华丽的飞燕，给人感觉穿上就可以身轻如燕。短弓兵升阶长弓兵专用。,property_27.png,0,0,0,20,85,0,0
28,0,青铜盾,0,平时还可以当镜子用，战时可以用来抵挡攻击的最常见的盾牌。短刀兵升阶刀盾兵专用。,property_28.png,0,0,0,25,30,100,0
29,0,乌孙,0,久经沙场的老马，虽然膂力不足，却具备丰富的作战经验。轻骑兵升阶突骑兵专用。,property_29.png,0,0,0,25,95,0,0
30,0,体力丹,9,增加60点体力,property_3.png,0,0,0,0,0,0,0
31,0,金宝箱,4,收集越多，人品越高，易爆出更强力的四五星武将，后期必出优质五星 ,property_31.png,0,0,0,0,0,0,0
32,0,银宝箱,5,收集越多，人品越高，易爆出更强力的三四五星武将。,property_32.png,0,0,0,0,0,0,0
33,0,卡,6,充值即可得250元宝，另每天100元宝，120体力，护军教头x3,property_3.png,0,0,0,0,0,0,0
34,0,改名卡,7,使用后可以修改名字,property_30.png,0,0,0,0,0,0,0
35,0,小喇叭,8,玩家可以在游戏跑马灯通知中发布信息并连续播放三次,property_33.png,0,0,0,0,0,0,0
